title	release_date	album	lyrics
Who By Fire		20 Odd Years	and who by fire who by water who in the sunshine who in the night time who by high ordeal who by common trial who in your merry merry month of may who by very slow decay and who shall i say is calling who shall i say is calling and who in her lonely slip who by barbiturate who in these realms of love who by something blunt who by avalanche who by powder who for his greed who for his hunger and who shall i say is calling who shall i say is calling and who by brave assent who by accident who in solitude who in this mirror who by his ladys command who by his own hand who in mortal chains who in power and who shall i say is calling who shall i say is calling
Cold Steel Drum	2011-01-01	20 Odd Years	i lay down for you in black and blue life here is getting mad without you the sun is hot and i can feel your heart beating like a cold steel drum of the winter overall overall the land that spreads across there seasons and im still waiting for you bring me back to loves surrender  x2 true desire through the fire it all came right down to the wire the way we came together and the way we split man weve been through some crazy shit  baby i know you dont need me holding back my heart now ive got the feeling that its getting stronger anyhow wont you come along to the places that i wander ive got to get back we can learn from each other  x2 true desire through the fire it all came right down to the wire the way we came together and the way we split man weve been through some crazy shit  bring me back bring me back bring me back bring me back to loves surrender  who could have guessed it would ever go as deep as this singing without voice amnesia and sleeplessness hunter goes quietly distance seduced you windows that dont open its hard to get used to the other shoe drops with a dutiful thud your eyes on the door and your beautiful blood overcast skies that are permanent and ominous hopper esque hotel rooms and the anonymous already i find myself alone and my mind wanders into the unknown counting the seconds and vowing the thirds i sped through space with the rapidity of words the worse kind of wounds dont even break the skin i hope i never make the same mistake again memories and scars that i intend to keep wounded and ruined i only pretend to sleep
Zombie Delight	2011-02-07	20 Odd Years	zombie delight zombie delight zombies are coming to getcha tonight zombie delight zombie delight zombies are coming to getcha tonight  zombies are on the loose be courageous theyre totally disgusting their condition is contagious theyll try to bite your body but dont let em the situations getting worse we better go get em zombie apocalypse the day has come the party starts look out for raggady people with rotten body parts dont drink water from a contaminated source its time to do battle with the reanimated corpse prepare yourself physically and mentally study yes theyre known for their muddy dress their face is a bloody mess zombie invasion the problems international dont try to reason with them  zombies are irrational these are dead people imagine how they smell if youre bitten then you become a zombie yourself they dont eat raisins or peanuts or chocolate chips shoot em in the head its the zombie apocalypse  x2  why is this happening people are frantic the militarys overwhelmed wide spread panic cities are destroyed and the streets run red how do we contain this plague of the undead weaponize thyself call in the troops zombies have the tendency to mobilize in large groups theres very little information and no answers one weird thing is that theyre excellent dancers watch this yeah freaks from hell revitalized remains the only thing they know how to say is the word brains thats all theyre interested in is your grey matter hey batter hit them in the head and they may splatter the zombie tsunami its out of control hide in your basement or go on patrol the world is being pillaged of its beauty and its worth brain dead zombies are takin over planet earth  x2 zombies mommy zombies are just doin what comes natural brains yum yum yum dead we gotta start protecting ourselves and they look like zombies now i know they exist
She Said Yes	2011-01-01	20 Odd Years	she wrote back too alone a single pair of shooting stars messages in bottles a signal flare the ledge appears eyes insinuate a pledge of years middle of nowhere she met me at the edge of tears the wild west beguiled less a child blessed styled dressed i asked and she smiled yes requested my eyes close and neck rested surrounded by dead silent couples we breakfasted she knows the way im a foreign ambassador i was a window in a door in a passenger lights on elizabeth early nights and vaccinations out of the blue the birds flew like accusations from telephone wires that crisscross the wild sky climbing her staircase to her bedroom a mile high trips that begun from the tip of the tongue new moon a total eclipse of the sun and she said yes she said yes she said yes she said yes she said yes she said yes lonely hearts club a committee of privates heart shaped waters in a city of pirates hideouts and how much depends of the worth philosophers walk to the ends of the earth and she said yes she said yes she said yes she said yes she said yes she said yes  she said yes
BCC	2011-01-01	20 Odd Years	bcc the add we dont have much time you see bcc the add bcc the add we live in a democracy bcc the add once upon a time i was born without a mother covered in fuzz i was light as a feather first day at school i was half way rancid friends from the city started calling me francis copenhagen brussels amsterdam cobra life aint a game show get with the program bunched up munchkins playing with nunchucks under a dump truck inside the lunch box bcc the add we dont have much time you see bcc the add bcc the add we live in a democracy bcc the add words that rhyme and words that dont the werewolf wears wool yo first of all there goes christopher cross tail gating taxi cab must have pissed him off the right to love is such despair whatever you do   dont touch my hair fireworks for emphasis when am i ever gonna get out of memphis no time to be with my child because im still in tennessee no time to be with my boy because im still in tennessee bcc the add we dont have much time to see bcc the add video killed the radio star a ha ha ha ha ha ha bcc the add bcc that to us bcc that to us in time and space bar timing things fell down on the ground and now im all dirty no time to be with my child because im still in tennessee no time to be with my boy because im still in 10cc bcc the add we live in a democracy bcc the add hot butter  say what the popcorn bcc the add socks and underwear are in the top drawer bcc the add hot butter  say what the popcorn bcc the add godmother sounds like what a fog horn bcc the addc got other styles thats right a lot more
Tears Of Your Heart	2011-02-07	20 Odd Years	french singing  age is beauty bewildered young sharp dressed man with the silver tongue when alls been said and done im hopin well sleep all day with one eye open combined operations joint task force a branch a wild rose and one black horse sapphire eyes french   strange how the angel of death plays a harp nails and teeth are razor sharp days on end the hardest part the shiniest eyes and the darkest heart  dead of night stronger younger beyond the pale in bright red hunger weve got all night so take your time one deep kiss and ill make you mine ill make you mine ill make you mine   freezing cold untraceable curse the agony of an insatiable thirst endless love and hunting down time blood from your throat running down mine   a hundred times ive begged the question a hundred times forsake discretion a hundred times i make suggestions a hundred times i take possession a hundred times ive begged the question a hundred times forsake discretion a hundred times i make suggestions a hundred times i take possession
Final Approach	2011-01-01	20 Odd Years	the sun is always shining bright at thirty thousand feet above waiting games creating flames burning with the heat of love another day another turn page no weve reached the most absurd stage both my arms turn into branches and my chest becomes a bird cage hurricane endure the pain i aint use to being nervous agitated seat belt fastened james brown mixed with ian curtis no where no where way up high i dont really need a lot with fire in my lungs tonight i travel at the speed of fire  jai attendu longtemps pour te revoir jai eu peur de ne jamais tapercevoir pendent tout ce temps jai imagin ton avion scraser et jai vue le pire penser que tavais chang dide dans ta vie je venais tout compliquer le coeur tordu  vivre son ton mort serious serious serious serious serious serious this is it final approach guns are drawn and facing fire im the one johnny come home starving hungry pacing tiger miles an hour thousand power brave like ace scarecrow like panic futuristic french new wave bullet proof arrow dynamic broken rose off birthday kisses moving sidewalks sliding doors sunshine crawls across our sadness burning mine and hiding yours say the word call the start a drop of blood in all the hearts soon well sing this song again but not right now lets fall apart  je sens ta prsence se cacher langoisse disparatre et laisser couler le sang dans mes veines comme si javais attendu tout ce temps pour respirer te voyant ma mmoire va effacer les traces de tous tes dparts
Paper Airplane	2011-01-01	20 Odd Years	down by the lake you saw me and you knew i was waiting for you looking in between those long reeds your reflection it fell upon how we miss that love  the words written on my hand are hard to say game of solitaire with no card to play paper airplane so far away  the words written on my hand are hard to say game of solitaire with no card to play paper airplane so far away  crying for your letters looking all through the pictures they surviving the long way to get from me to you get to me youre writing me a letter looking for my heart to send you   oh it all in words im writing my heart out my heart out for you  distant tower hour on resistant hour signals with consistant power eventually the shepherd must slaughter his sheep the sky is ripped open and the water is deep somewhere else your burning fire your tempting charms im lost in the woods with no voice and empty arms admitting im stranded commiting my plan two stories written by hand  play me again your memory  the hands of the clock on the wall are the enemy i feel them on my throat girls are called emily stillness is illness your voice is the remedy  polaroid pictures gonna find me  the illusion is blinding aches that remind me finally behind me yesterday is in the fire drawing these words until my hands begins to tire at war with now desperately seeking then cursing my body and torturing a bleeding pen memories of your voice circling through rooms wondering where and imagining two moons there is one for each of us anguish is my guidingngrace i keep all your lyrics in a secret hiding place building a boat made with a sail of paper words written down no sound and a trail of vapor  how we miss that love repeats
Gee Whiz		20 Odd Years	tell me what is it is gee whiz i dont think i know  well believe me ive tried but theres no explaining eyes piled up you look like a painting saintly and sexy the soft spoken wind blows uncertain curtains cover broken windows in desperate need of a safe haven and inflamed i walk around paris unshaven and ashamed 20 odd years since last time i slow danced teenage crisis and the end of romance i see myself in the form of a wolf furry down on all fours and worried uneven colours and the echoes of fly tones connections ive lost in a collection of jawbones apples and oranges you decide which im writing graffiti on suicide bridge i once knew a woman who was clever and tough who said too much make up is never enough her eyelids were heavy with words and desire she lives underwater with the birds and the fire and it just so happens im selling my psyche if you like love youll love this most likely  you and me are meant to be thats right i love you cant you see whatever partner you do choose you have the ability to marry 6 7 8 ill never hurt you you know husbands love their wives yeah love the woman part of me is here with you one life where my heart beats for you well here we are again heres a couple treacherous im impatient in relationships in and love when will you see quand allez vous me voir  tell me what is it is gee whiz i dont think i know  bird girl sorry im too sleepy to make but the sounds of my dreams always keep me awake dont wanna scare the birds away so i speak soft memories like the shows of vanessa beecroft her bedroom philosophies are so perplexing but i think these two wooden legs are so sexy cries of sadness spectacular you be rossy de palma and ill be your dracula fist is of agony decorate the last room shoes by the door on the floor is your costume open the trunk with the car key the odd way love songs call me the marquee de shad lord of the files you lost me i wonder how midnight meet me at the entrance for the underground so many questions but im afraid to ask so i whisper them to apollinaire by picasso i touch all the flowers and break the chain i wish i could fly but id rather take the train and it just so happens im selling my psyche if you like love youll love this you wouldnt tell me what it was because i dont think you know
Whispers Of The Waves	2011-01-01	20 Odd Years	i am the deck you are the sea i am the light on the water and you are moving underneath i am the rail you are the sea i dont know what im even looking at dont know whats even happening higher than the moon deeper than the seas holder of the truth keeper of the keys enemies remorse heroes savagery infinitely dark zero gravity welcome your despair but develop hope sharpen up your blade cut the devils throat look it in the eye wonder what it is fire in the sky and on the water wind turning of the tides learning of the whys burning of the eyes yearning of the cries save the second five drifters and the slaves listen to the rain whispers of the waves calling of the stars elegant eclipse voices of the ghosts skeletons of ships digging deeper down crawling out above shifting of the sands falling out of love it doesnt take much it doesnt take much to ruin a moment like this feed me your agonies your riches and voices trespass against me but offer me choices stronger than fire the cancer is slow your tears are like mine but the answer is no feed me your agonies your riches and voices trespass against me but offer me choices stronger than fire the cancer is slow your tears are like mine but the answer is no nothingness of days preachers of the sleep diamonds on the surface creatures of the deep forbidden is the truth permission to believe reaching out for hope fishermen and thieves ruining the future dealing with the past deeper than the floor ceiling made of glass merciless and cold miserable and moved blind onto the eye invisible and blue cursing at the sun yielded my advice open to the air shielded by the ice all we do is wait used to do it all rhythm of your blood music through a wall lovers without hope strangers without things bodies without spirits angels without wings start of something else finality of breath origin of life and melody of death they curse your name they curse my name burst into flame whisper please please please whispering their pleas different degrees people can be so mean they call you the drowning machine i am the school screws that turn only till it burns you are the sea yes i am the sea lesson in the key i dont know if its me moving through you or you through me i am the bridge bridges and spillways all ablaze you are the sea yes i am the sea lesson in the key i am taking on water and you just kept on battering me feed me your agonies your riches and voices trespass against me but offer me choices stronger than fire the cancer is slow your tears are like mine but the answer is no they curse your name whisper please please please people can be so mean they call you the drowning machine
